condition,frame,host_read_start_s,camera_timestamp_s,host_receive_timestamp_s,state_host_timestamp_s,frame_valid,error_message,raw_points,cropped_points,downsampled_points,scene_points_after_self_filter,robot_surface_points,q_actual_1,q_actual_2,q_actual_3,q_actual_4,q_actual_5,q_actual_6,preprocess_ms,state_fk_ms,self_filter_ms,end_to_end_ms,risk_state,hold
start,82,1785915493.503394,1785915493.470956,1785915493.521386,1785915493.578802,1,,862564,36742,3428,2518,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.2989,1.0931,10.9150,86.8007,SAFE,0
start,83,1785915493.590254,1785915493.537616,1785915493.608196,1785915493.666410,1,,864866,37237,3440,2601,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.4307,1.1413,11.3919,88.0704,SAFE,0
start,84,1785915493.678395,1785915493.637604,1785915493.696265,1785915493.761102,1,,864280,37149,3408,2570,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57080007,-0.09148429,29.0808,1.1120,10.8299,94.0483,SAFE,0
start,85,1785915493.772503,1785915493.737590,1785915493.791189,1785915493.851136,1,,863958,36659,3517,2639,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,28.3481,1.0882,10.3843,89.4953,SAFE,0
start,86,1785915493.862061,1785915493.804247,1785915493.879936,1785915493.941565,1,,864892,37145,3416,2572,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,29.2441,1.1772,10.8837,90.8869,SAFE,0
start,87,1785915493.953009,1785915493.904230,1785915493.971746,1785915494.029596,1,,862665,37111,3440,2573,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57080007,-0.09148429,26.6403,1.2124,10.3393,87.3900,SAFE,0
start,88,1785915494.040462,1785915494.004230,1785915494.058662,1785915494.117346,1,,866142,36974,3409,2552,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.2914,1.0799,11.1324,88.4805,SAFE,0
start,89,1785915494.129003,1785915494.070902,1785915494.146916,1785915494.205987,1,,861332,36917,3379,2480,50000,-0.09148429,-0.04078114,1.52892947,-0.00107840,1.57079637,-0.09148429,27.2728,1.0816,10.2823,87.7344,SAFE,0
start,90,1785915494.216800,1785915494.170908,1785915494.234891,1785915494.294434,1,,863797,36977,3433,2567,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,28.9571,0.8339,10.8662,88.9679,SAFE,0
start,91,1785915494.305828,1785915494.270912,1785915494.323841,1785915494.382518,1,,862955,36889,3366,2536,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.8763,1.1713,10.2604,87.4188,SAFE,0
start,92,1785915494.393308,1785915494.337581,1785915494.411298,1785915494.469780,1,,864290,36823,3475,2632,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,27.1538,0.8420,11.2701,88.2127,SAFE,0
start,93,1785915494.481587,1785915494.437583,1785915494.499695,1785915494.557811,1,,864615,37014,3453,2569,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.8301,1.1158,10.8764,87.5641,SAFE,0
start,94,1785915494.569216,1785915494.504250,1785915494.587335,1785915494.644291,1,,865980,36903,3498,2611,50000,-0.09148429,-0.04078114,1.52893317,-0.00107840,1.57079637,-0.09148429,26.7607,0.8423,10.9823,86.5352,SAFE,0
